epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.071,0.57978,0.67014,1.17897,0.58909,0.59048,0.6517,0.44763,0.98492,1.42318,1.85929,0.000742625,0.000742625,0.000742625
43,120.835,0.58876,0.67627,1.16695,0.56867,0.53181,0.61436,0.39022,1.17267,1.45445,1.99454,0.00073025,0.00073025,0.00073025
44,123.601,0.58411,0.64884,1.15739,0.50133,0.48549,0.57354,0.43499,0.90781,1.59241,1.76099,0.000717875,0.000717875,0.000717875
45,126.387,0.56903,0.64636,1.17052,0.61505,0.60135,0.65751,0.47902,0.91033,1.06684,1.72524,0.0007055,0.0007055,0.0007055
46,129.173,0.59641,0.63187,1.17723,0.57539,0.79194,0.61282,0.36155,1.45127,1.30168,2.5128,0.000693125,0.000693125,0.000693125
47,131.96,0.55013,0.5773,1.14085,0.67528,0.84716,0.70351,0.48989,1.01962,1.10863,1.87449,0.00068075,0.00068075,0.00068075
48,134.744,0.56842,0.60301,1.16057,0.73199,0.93156,0.71164,0.48919,1.10314,1.10338,2.06354,0.000668375,0.000668375,0.000668375
49,137.526,0.563,0.587,1.13728,0.98941,0.57211,0.66947,0.48484,0.92163,1.05224,1.80185,0.000656,0.000656,0.000656
50,140.289,0.53704,0.55429,1.12575,0.69048,0.56227,0.63468,0.47826,0.99092,1.0886,1.9055,0.000643625,0.000643625,0.000643625
51,143.084,0.54933,0.56523,1.1587,0.64244,0.87538,0.67656,0.49437,1.06682,1.05467,2.03269,0.00063125,0.00063125,0.00063125
52,146.448,0.52167,0.53361,1.12967,0.63427,0.66922,0.703,0.49295,1.03396,0.84454,1.98962,0.000618875,0.000618875,0.000618875
53,149.969,0.52656,0.56312,1.12752,0.55561,0.57293,0.60577,0.43616,1.06072,1.06583,1.99727,0.0006065,0.0006065,0.0006065
54,153.748,0.53473,0.57353,1.1352,0.80341,0.62836,0.64583,0.48804,0.91086,1.0086,1.77631,0.000594125,0.000594125,0.000594125
55,157.508,0.54354,0.56567,1.1373,0.88571,0.59277,0.66629,0.51534,0.81976,0.89747,1.60868,0.00058175,0.00058175,0.00058175
56,161.297,0.55364,0.546,1.16761,0.655,0.66257,0.69691,0.50605,0.92819,0.78178,1.73147,0.000569375,0.000569375,0.000569375
57,165.332,0.53717,0.55602,1.1471,0.93587,0.70271,0.7205,0.53496,0.82244,0.77124,1.6362,0.000557,0.000557,0.000557
58,169.473,0.52098,0.53027,1.12384,0.94755,0.69348,0.72386,0.57063,0.81207,0.62712,1.61232,0.000544625,0.000544625,0.000544625
59,173.001,0.51048,0.5038,1.11336,0.92017,0.65134,0.68947,0.55036,0.80669,0.76305,1.57721,0.00053225,0.00053225,0.00053225
60,177.196,0.52258,0.51974,1.11988,0.8985,0.63069,0.66769,0.50542,0.84141,0.90925,1.66492,0.000519875,0.000519875,0.000519875
61,180.598,0.48305,0.48936,1.10636,0.8701,0.63927,0.6959,0.53165,0.81137,0.96058,1.56398,0.0005075,0.0005075,0.0005075
62,184.01,0.48538,0.48403,1.09106,0.92868,0.64259,0.69872,0.56401,0.74124,0.79666,1.51827,0.000495125,0.000495125,0.000495125
63,187.348,0.47525,0.49508,1.10584,0.95739,0.65664,0.72781,0.57749,0.76196,0.72373,1.52868,0.00048275,0.00048275,0.00048275
64,190.821,0.45745,0.49425,1.07577,0.70132,0.96248,0.76663,0.61106,0.77063,0.58001,1.53491,0.000470375,0.000470375,0.000470375
65,194.343,0.47598,0.47529,1.09312,0.74101,0.65607,0.74835,0.60389,0.72972,0.60466,1.48284,0.000458,0.000458,0.000458
66,197.771,0.48015,0.48069,1.10241,0.72295,0.68859,0.78618,0.62873,0.77873,0.64876,1.52961,0.000445625,0.000445625,0.000445625
67,201.656,0.45581,0.44711,1.07201,0.7012,0.69695,0.73164,0.57422,0.83371,0.71501,1.61784,0.00043325,0.00043325,0.00043325
68,205.277,0.48125,0.47349,1.09812,0.96507,0.71702,0.73228,0.56161,0.79397,0.63522,1.56608,0.000420875,0.000420875,0.000420875
69,208.051,0.47204,0.44116,1.10557,0.94377,0.69137,0.7071,0.53243,0.8865,0.76283,1.61935,0.0004085,0.0004085,0.0004085
70,210.827,0.48409,0.45497,1.09436,0.96091,0.61412,0.69192,0.5221,0.85399,0.85645,1.54509,0.000396125,0.000396125,0.000396125
71,213.598,0.44555,0.43683,1.08823,0.96561,0.65186,0.70918,0.57812,0.69611,0.71899,1.39,0.00038375,0.00038375,0.00038375
72,216.367,0.45132,0.43731,1.08613,0.67304,0.68375,0.72349,0.5857,0.71396,0.66395,1.40276,0.000371375,0.000371375,0.000371375
73,219.145,0.43505,0.41747,1.05929,0.7041,0.67849,0.73208,0.59466,0.71966,0.61358,1.4382,0.000359,0.000359,0.000359
74,221.913,0.42393,0.41325,1.05519,0.97116,0.69993,0.73504,0.60369,0.66797,0.61012,1.37651,0.000346625,0.000346625,0.000346625
75,224.667,0.4279,0.4027,1.04526,0.95778,0.67647,0.72402,0.59109,0.65936,0.69074,1.36181,0.00033425,0.00033425,0.00033425
76,227.429,0.4584,0.42435,1.0907,0.96002,0.71739,0.76806,0.62161,0.65617,0.5283,1.39471,0.000321875,0.000321875,0.000321875
77,230.193,0.43626,0.41445,1.06927,0.97946,0.72771,0.98351,0.82138,0.66878,0.46596,1.45499,0.0003095,0.0003095,0.0003095
78,233.002,0.42241,0.39929,1.05566,0.86325,0.73913,0.98253,0.85224,0.66399,0.48084,1.43502,0.000297125,0.000297125,0.000297125
79,235.82,0.39163,0.40508,1.056,0.96814,0.70127,0.77473,0.61862,0.71526,0.5617,1.47741,0.00028475,0.00028475,0.00028475
80,238.601,0.42162,0.39346,1.05467,0.96824,0.70195,0.7608,0.61915,0.68783,0.53331,1.44652,0.000272375,0.000272375,0.000272375
81,241.381,0.42239,0.37843,1.04741,0.97823,0.70022,0.77202,0.62703,0.67966,0.5741,1.40599,0.00026,0.00026,0.00026
